"Gene","Median_Tumor","Median_Normal","LogFC","p_value","adj_p"
"MTF1",10.7067046183579,11.0454738583515,-0.338769239993599,6.33032570374214e-13,1.20276188371101e-12
"CCS",10.5886371293924,10.1542226773015,0.4344144520909,3.75896177316922e-12,7.02494495313592e-12
"LDHA",14.9892480382964,14.5766168686389,0.4126311696575,5.58918286629053e-11,1.02768846251148e-10
"ULK1",11.9556946419599,11.606178387347,0.349516254612899,6.64968739743353e-11,1.20327676715464e-10
"AOC1",5.52256161721154,4.8403886831792,0.68217293403234,7.12403869850804e-11,1.26896939317175e-10
"GLS",11.6099629076601,12.0949133657026,-0.484950458042501,8.03944368755438e-11,1.409994739048e-10
"HES2",7.03462450265587,6.00721421374362,1.02741028891225,3.55338291294698e-10,6.13766139509023e-10
"CP",9.04787843842006,10.9203920266112,-1.87251358819114,3.79715042271814e-10,6.46082310731147e-10
"VEGFA",12.3423624801142,11.8174815897661,0.524880890348101,4.55679491277478e-10,7.63933264788714e-10
"FXN",8.44554572056991,8.68311958112996,-0.237573860560049,8.68506703785057e-09,1.43492411929705e-08
"PIK3CD",9.73511626089926,10.2056769539615,-0.470560693062241,9.06634135939153e-09,1.47651844995805e-08
"ULK2",10.8547741711008,11.1436849320361,-0.2889107609353,1.72764860736811e-08,2.77397100337978e-08
"VEGFB",11.8958419829721,12.430692042559,-0.534850059586901,5.34295197033829e-08,8.45967395303562e-08
"LOXL3",8.47472313418896,8.13405818961974,0.34066494456922,7.77892121519095e-08,1.21479043634489e-07
"NRAS",11.9356227521988,11.679247231317,0.2563755208818,1.45461338210729e-07,2.24089088594906e-07
"SLC25A3",14.0964176506037,14.2817123522804,-0.1852947016767,6.01018376926399e-07,9.13547932928127e-07
"ATP7B",10.242277616464,9.68876108900431,0.55351652745969,6.1330754124873e-07,9.19961311873095e-07
"ATP7A",10.5925558066976,10.9095784758014,-0.3170226691038,7.07386501188225e-07,1.04729949526568e-06
"ANGPT2",9.37528863507793,9.8621163932971,-0.486827758219171,1.27670258145538e-05,1.86594992674248e-05
"PIK3R4",11.4237507496309,11.5806162560662,-0.156865506435301,1.29642012641493e-05,1.87078347356078e-05
"LOXL2",11.5728196630975,11.1245860788858,0.4482335842117,4.53117145887968e-05,6.45691932890355e-05
"PIK3R2",3.88666728628222,3.67073136233733,0.21593592394489,5.92087679059084e-05,8.33308585342414e-05
"DLD",12.1749966185665,12.2697626815085,-0.094766062942,6.4222361527882e-05,8.92847465143726e-05
"STEAP3",11.294591419021,11.6102528933123,-0.3156614742913,0.000385119276029485,0.000528959005630859
"PIK3R5",8.96588486728134,8.57205727055277,0.393827596728569,0.000607404908821473,0.000824335233400571
"PDHA1",11.5321100333203,11.6812406055449,-0.1491305722246,0.000968529462104045,0.00129896892564543
"MEMO1",6.83730342479267,6.71919002014204,0.11811340465063,0.00145602246644844,0.00193007629273398
"SLC40A1",13.2485788268171,13.7519047629568,-0.503325936139699,0.00188073477578454,0.00246441108551077
"IL1B",7.60911597605938,8.0464183990033,-0.437302422943921,0.00305019367018028,0.00395138725455173
"SLC30A10",3.26594930430877,3.40848974640311,-0.14254044209434,0.00399658931078131,0.00511922675762999
"HES7",3.6834183092031,3.57766840975544,0.10574989944766,0.00561291209671866,0.00710968865584364
"PDK1",9.97623136879469,10.2201551081724,-0.24392373937771,0.00592298836002086,0.00742000739607008
"COX11",10.8583029372516,10.9606824984197,-0.102379561168101,0.00697359010829114,0.0086411877428825
"PDHB",11.3596792157184,11.1917900741363,0.1678891415821,0.00801460873348253,0.00982435909265601
"ATG13",12.3285792010103,12.3932115880456,-0.0646323870353012,0.0113446952083262,0.0137584601462679
"TIGAR",8.33253291664776,8.14074762710688,0.191785289540881,0.0197209821722904,0.0236651786067484
"TP53",12.1161066609282,11.9501412221183,0.1659654388099,0.0210218620887735,0.0249634612304185
"DLAT",10.915496901829,10.9263479067054,-0.0108510048764003,0.038831663144759,0.0456372123556961
"HES1",11.8152302896905,11.7941850779949,0.0210452116956006,0.0454654603040562,0.052888392598596
"XIAP",12.2134713083726,12.1587142794917,0.0547570288808998,0.0526876853564159,0.0606706679861759
"HEPHL1",4.95892589183673,4.88008534731232,0.07884054452441,0.0550831027697605,0.062794737157527
"MAP2K1",11.0173231769026,11.064501221207,-0.047178044304399,0.0851012615875507,0.0960548893166414
"HIF1A",12.4946025760533,12.305808624751,0.1887939513023,0.120464532234345,0.134636830144268
"LOX",11.2909395717805,11.4973860252339,-0.206446453453401,0.144419663116839,0.159843122284657
"RPS6KB1",11.208128669048,11.2744407308893,-0.0663120618413,0.150269989815408,0.164719027297659
"GLS2",4.38239193245421,4.3585944384002,0.0237974940540102,0.18865906053015,0.20482983714702
"COX19",9.51922506754834,9.47702768217653,0.0421973853718107,0.244993912000088,0.263484018566132
"COMMD1",10.2700374348562,10.2195482220205,0.0504892128357,0.403912070557792,0.430336224706433
"ULK4",8.56391988570901,8.45900617071932,0.10491371498969,0.426132481713834,0.449806508475714
"HES3",2.71762148018043,2.71762148018043,0,0.579482270604155,0.600554353171579
"SESN2",10.1309306347156,10.1560351440689,-0.0251045093532998,0.578485316850077,0.600554353171579
"TNF",6.5851561371861,6.58736736048475,-0.00221122329864976,0.725704224334418,0.745317852019131
"HES5",3.81904072677294,3.84319004798943,-0.0241493212164903,0.743817929085549,0.757100392104934
"PIK3CB",11.6061430640676,11.6034580407027,0.00268502336490073,0.824910380718268,0.832210472583032
"IL1A",4.26369290949947,4.38015673964763,-0.11646383014816,0.895987064611192,0.895987064611192
