Gene,Coefficient
FOXO4,-3.1843710369069136
EGFR,-2.8516245821290247
FGF2,-2.6588807261714034
CDKN2A,2.4042880769786836
MYC,-1.6358063415016504
STEAP1,-1.4424991643768184
SLC25A37,-0.6512799745074034
IL6,-0.2322108829912842
CP,0.0
