EGFR,FGF2,FOXO4,IL6,CDKN2A,SLC25A37,MYC,STEAP1,CP
2.4387896,1.4823972,0.9368548,0.16002677,1.3123964,-0.8751905,0.73601794,-0.26913655,-0.20740417
0.20530704,1.568478,1.8812726,0.39289346,0.88066655,0.84004307,-0.12228141,1.0807776,-0.081936486
2.2775888,1.522433,1.6564882,0.05875593,1.1487118,0.62869877,0.6133362,-0.27754468,-0.050088488
2.7188408,1.689375,0.3528849,0.34760138,-0.9962528,0.08443839,-0.8363288,0.9183628,-0.24205938
2.717124,1.4778731,0.61509305,0.8693403,0.86600155,0.37723607,0.76402414,-0.7114842,0.16048865
1.7416002,1.3026773,1.682867,0.55375636,1.4530597,-0.74900717,-0.30846578,0.78624576,0.17106655
2.1875641,1.4859583,1.552491,0.81121075,1.2820961,0.5450906,0.61235404,-0.33168846,-0.050088488
-1.3711344,1.9961035,2.856361,-0.79405177,2.1733966,-0.12571177,-0.6365375,-0.18471025,0.18695119
2.2021074,-0.14177178,0.6621418,0.33324808,-0.06361596,-1.2000958,-0.6969536,-0.4004047,0.41601145
2.2174034,1.4910086,1.419551,0.33649158,-0.67837065,0.7061621,0.84636986,0.89451534,0.31953442
2.7532122,-1.3267608,1.6574388,0.91099274,1.1678728,0.34539324,0.69212306,-0.2912321,0.16048865
2.2652142,1.4158683,1.4862497,0.29480803,0.706812,0.6255389,0.77885115,-0.35738897,-0.050088488
-5.096583,-1.5510596,-2.6780612,-0.87831056,1.4900984,0.20491205,-0.71973985,-0.7049459,-0.192227
2.6766691,0.11336629,0.94792724,0.6984287,2.4088333,0.24871325,-0.9282289,-0.5196554,-0.103471525
2.1378303,1.3050846,0.8330822,0.35390094,0.74819756,0.7431991,0.9317491,0.96828204,-0.06676986
-3.573593,0.24295375,1.935941,0.95571464,0.07546595,-0.5608354,-0.31722015,-0.39135063,0.43287498
2.3671556,1.5187666,-2.04939,0.9916549,1.4486326,0.09732415,0.6146703,1.0813007,0.0687924
1.9071487,1.2676948,1.4539059,0.32644254,1.0454298,0.529225,0.6442671,0.81628746,0.16438107
2.1378303,1.3415176,0.8285241,0.32638597,0.74819756,0.7388391,0.9317491,0.96828204,-0.06676986
2.3203356,1.334479,0.8072331,0.33159012,0.87921524,0.8308874,-0.36582166,0.92769426,-0.06676986
2.0105407,1.3122979,0.8367113,0.34071574,1.4800965,0.23146635,0.8281307,0.92363805,-0.06676986
2.70378,1.890034,0.81226546,0.2921912,-0.8330528,0.89211136,0.5789583,-0.5132331,-0.21051148
-0.4340123,0.34910253,0.73597944,-0.7268326,0.9191341,0.18192679,0.5694294,-0.6807427,-0.26266655
2.406691,1.6817397,1.6190563,0.3245365,-0.8817485,0.799636,-0.39318907,0.8588738,-0.2334429
1.9781263,1.3119186,1.4179921,0.3201934,1.4338877,0.51925826,-0.067453966,0.82762057,-0.0730199
2.1591268,1.4425014,0.9288742,0.32762438,0.9893271,0.61432195,0.5615089,0.84085935,0.16332017
1.9071487,1.2676948,1.4539059,0.32644254,1.0454298,0.529225,0.6442671,0.81628746,0.16438107
-5.294272,-1.5691366,-2.6702392,0.23737109,0.19180442,0.20034151,0.2488075,-0.7225754,-0.13811055
2.2418818,1.4678756,1.3659345,0.3310128,-0.65536684,0.6628137,0.84934914,0.8809512,-0.22670496
2.8076215,1.7116363,0.36018047,0.32474124,-0.7267707,0.6886567,1.1184376,-0.24579398,-0.20377353
1.9513061,1.2671708,1.3740501,0.90493166,1.2619768,0.5446617,0.6442671,0.80695647,-0.0730199
2.418672,1.466337,0.87726545,0.22685306,1.1056563,0.61391145,0.72221696,-0.35495377,-0.050088488
2.3757474,1.5555279,1.6145563,0.22942053,0.68062663,0.6166206,0.75258946,-0.34683657,-0.050088488
2.1235235,1.3503264,0.82086575,0.32638597,1.1740799,0.6140058,0.62777066,0.9754686,-0.06676986
2.5673335,0.25353485,1.9939578,0.1388603,0.89567506,0.16050291,0.87944233,-0.2486244,-0.088162854
-0.9396405,-1.4602133,1.155539,0.5649282,0.5784059,0.41246387,1.3130641,2.1854339,0.18788035
2.439671,0.117378324,1.1055739,0.2327633,1.2167498,0.63173395,0.9393959,0.9321571,-0.074709766
2.648947,1.8899326,-1.6843354,0.43869624,1.2870167,0.39849558,0.7157575,-0.7286941,0.08547378
-3.3978078,-1.8972466,2.6459742,0.374105,2.2258477,0.2601851,-0.59110993,1.3541759,0.191115
2.156465,1.5140715,1.5755854,0.22407578,1.2928629,0.54073054,0.5738994,-0.3266722,-0.065356426
-1.2307197,1.7699884,2.3786209,0.4993575,2.0033016,-0.5015623,-0.66373676,0.99224156,0.19886139
-1.6166173,0.021548558,1.4739182,-0.8784714,2.49531,0.22778267,-0.7838091,-0.52742094,0.17897564
2.3963778,0.28296366,2.1902862,-0.79187596,1.5593905,0.64201015,0.64946294,-0.11055192,-0.06900694
2.1127477,1.2982424,0.82623994,0.35390094,1.0948591,0.6122049,0.8296119,0.9510172,-0.06676986
2.0766857,1.3032039,1.3830403,0.32895344,0.98646164,0.56202334,0.6868179,0.8785115,-0.18970609
1.5782797,-0.8996579,1.8226733,1.0643127,2.1498938,-0.6702791,-0.73595196,0.9696842,-0.24927373
3.0988348,-0.871854,-2.102702,0.91390085,0.6127506,0.68345535,0.8952905,1.1449245,0.0687924
1.9049569,1.2833992,1.4211836,-0.968855,1.3430583,0.4071093,0.6677784,0.7123031,-0.06873048
1.6958917,1.2717642,1.593541,0.9884451,1.6481321,-0.7095779,-0.30846578,0.7617522,-0.2565468
-5.335838,-1.9441454,-0.31987807,-0.8164849,-1.309517,0.348072,1.5451858,-0.7710152,-0.2702437
1.74504,1.3755727,1.7201183,0.36228356,1.3778139,-0.28648528,0.6648022,-0.54302865,0.17809969
2.1378303,1.3415176,0.8285241,0.32638597,0.74819756,0.7388391,0.9317491,0.96828204,-0.06676986
2.2332437,1.4652317,1.7325959,-0.9085397,1.3704448,0.55624986,-0.092830814,-0.54218346,-0.061067022
-3.0686111,2.4963596,0.6262875,0.29552385,2.4609919,0.32987455,-0.40591824,1.351586,0.18788035
-2.4983447,1.9211644,2.1064022,0.24910025,1.8199091,0.3003604,-0.13856572,1.2480798,0.18788035
2.471223,1.4565384,0.9166627,0.83136284,1.2446625,0.49533597,0.71171856,-0.65907574,-0.09553159
-0.944445,0.303934,0.7524198,1.0722747,2.0036178,0.41759995,0.93791366,1.5899969,0.19407035
2.2356405,1.3989859,1.7402732,0.32515675,0.46975738,0.42398858,0.8142266,-0.48836,0.16308026
2.914697,-1.3475988,1.9113193,0.924031,0.6070968,0.6598057,0.81063163,-0.58052963,0.16048865
0.2111907,0.18240249,1.5432084,0.6230099,2.0869691,-0.7204809,0.9454541,1.2654325,0.18452963
2.1127477,1.3346754,0.82168186,0.32638597,1.0948591,0.6078448,0.8296119,0.9510172,-0.06676986
-5.2471976,-1.6209482,-2.443106,-0.77396417,-1.2204951,0.33540127,-0.45058835,-0.8100894,-0.32625353
2.1602237,1.2955905,1.804347,0.68222314,1.2149849,0.43980816,-0.75234944,0.8250398,-0.0730199
2.6392295,0.1376011,2.1823788,0.6530538,1.2419541,0.5736555,0.69008815,-0.5050821,-0.19788593
-1.4232014,1.7818501,1.9952588,-0.91834575,1.8304765,-0.6139787,0.63896286,0.8984141,-0.106236
-0.76538885,-0.50842315,-2.9337895,0.14946994,-1.3096818,-0.10420595,-0.5533739,-0.6823115,-0.13128483
2.1900098,1.4184082,1.822485,-0.66503364,0.9787184,0.61762214,0.61601985,-0.1265855,0.15958147
2.1058745,1.3742155,1.3962916,0.32735807,0.71036476,0.6811953,0.7729217,0.72027546,-0.0730199
2.9988594,1.8210633,0.7801612,0.24966948,-0.9283338,0.45455354,-0.37986368,-0.40759933,-0.40997696
-0.8148025,0.24969646,2.3267982,-0.034782812,2.5260105,-0.68627834,-0.17202742,1.017973,0.20181674
2.2553573,1.5314336,1.6446056,0.22407578,1.2104009,0.3725547,0.62593377,-0.3336712,-0.09293998
2.4379072,-0.04631619,0.86968607,0.30194527,-0.9214607,0.7907721,1.2897716,1.1917753,-0.26859748
2.21856,1.3592249,0.82976425,0.32638597,0.73775333,0.75450367,0.8091445,0.98598915,-0.06676986
2.1439383,1.4910086,1.4599884,0.34337792,-0.52818346,0.7061621,0.84636986,0.87002176,0.32956576
2.92549,2.0384986,-2.1075337,0.44193807,0.9204173,0.49081194,-0.18798845,-0.5571766,0.058273464
2.0445113,1.3261799,1.5978718,0.33111155,0.74130756,0.7584953,-0.46309912,0.8134387,-0.0730199
-2.8741388,0.64144003,3.0479443,0.52263284,2.4612489,0.588885,0.3311986,-0.6967203,0.19333886
2.4469519,1.3782641,0.31935027,0.32638597,0.7359734,0.46826145,1.0142454,1.0743593,-0.03650766
2.0707762,1.2550026,0.99586695,0.6632099,1.6204249,0.16450584,-0.18059428,0.8900072,0.17106655
2.7522285,1.5545759,0.47131553,0.22685306,0.7182548,0.42579517,0.8505473,-0.41713017,-0.050088488
2.335652,1.6108233,0.7773325,0.34061632,-0.4787376,0.81622034,-1.0344399,0.90360147,0.30893832
1.6688148,1.3021708,1.5143088,-1.0050963,1.2349863,-0.7644531,0.65946317,0.7082321,0.16862866
2.0862217,1.5595045,1.7296455,0.30845946,1.0522696,-0.6470162,0.64142406,-0.32559377,0.17082664
2.0016947,1.298874,0.8132045,0.33095402,1.6370913,0.6124897,-0.30869478,0.8692971,-0.06676986
-4.459313,-2.3035924,1.3997297,-0.8521845,-1.4789141,-0.1491431,-0.96135885,-0.6323367,0.32062727
2.344505,1.3986098,0.5506167,0.32638597,0.7523863,0.75450367,0.8226806,1.0716374,-0.06676986
-0.6059388,0.122350186,1.9906397,0.34889552,1.9703691,0.5694742,0.40311345,1.5179104,-0.010425096
2.477196,1.5903114,-2.015576,0.47258005,1.1224566,0.27819782,0.8440722,0.9774678,0.0687924
2.5293329,1.6091064,-0.17904675,0.3258149,1.2248106,0.60351604,0.6156632,1.0737314,0.046693347
2.1601827,0.053700436,1.7117404,0.35286775,1.3021656,0.6012341,0.6928656,0.98325294,-0.080959804
2.261926,1.3855718,0.5540458,0.32638597,1.0305758,0.61584437,0.8562976,1.0481769,-0.06676986
2.0270033,0.28860447,1.5042263,0.21930231,1.4792633,0.51759404,0.6747397,0.9699319,-0.074709766
2.4246552,1.6256001,1.5897171,0.8940519,-0.6874598,0.73767585,0.8413851,-0.5015393,-0.24662507
2.1282814,1.363916,1.4502712,0.32735807,0.9770589,0.5037754,0.70044935,0.7535263,-0.18864521
2.3487852,1.5605315,0.87850934,0.045821343,-0.6799525,0.8454128,1.122524,0.7912727,-0.22045493
-2.2763274,0.64814353,1.8887008,0.06082489,2.1566875,-0.60689056,0.84070003,1.5384189,0.20181674
-0.6853503,1.4644068,1.1369227,0.41553846,1.7965131,0.5941761,0.79953945,1.1859348,-0.08205227
2.6150615,1.4999766,0.92272073,0.29224056,1.1067806,0.56432146,0.5158981,-0.285401,-0.19253764
2.2252529,1.4176137,1.4686399,0.28946328,1.1848314,0.4951546,0.6362256,-0.44372976,-0.050088488
2.4154358,1.372244,0.6328541,0.3344239,0.69514817,0.8010757,-0.36582166,1.0319704,0.16332017
2.1892784,1.41415,0.9249705,-0.7579708,1.674114,0.6616974,-0.5603474,-0.5293075,-0.09124217
2.5190823,1.7315159,1.5643907,0.81650615,-0.7178845,0.7287575,0.82955503,-0.32165134,-0.21051148
0.119474,1.4270071,1.9572434,0.95051694,2.134719,0.373,-0.31161332,0.8583577,-0.07568645
2.224142,0.17315575,1.4223421,-0.85975087,1.1258589,0.17625573,-0.55225915,-0.52573985,-0.11751544
2.2768462,1.5190947,1.6351719,0.25693545,0.9679471,0.5735421,0.6531403,-0.33165926,-0.065356426
1.8304049,1.3122984,0.8540126,0.39922455,1.3659539,0.38644755,-0.7309951,0.84963626,0.17059325
-4.406124,0.2739698,-2.6544125,0.80667907,-1.3862599,-0.32965916,-0.50493014,-0.019501965,-0.3792316
2.1493068,1.4052963,0.8149274,0.32935864,1.5229657,0.6139472,-0.92596596,-0.017429046,-0.050088488
2.1456347,0.11307614,1.6284846,0.23814584,0.9407207,0.70473045,0.80942094,1.044883,-0.080959804
2.2842345,1.5250083,1.3294699,0.3310128,-0.728093,0.4346387,0.91781795,0.91185755,-0.2531231
2.0501633,0.029420182,0.9940876,0.38853005,2.3040564,-0.8462545,-0.36618406,0.8583899,-0.21251255
-2.016464,-1.8703554,0.93798554,-0.9622402,-1.2186078,0.31261542,-0.34575647,-0.6837401,0.31065744
1.515248,1.2541417,1.6142031,0.3975253,1.8631512,0.18531576,-0.32804912,0.76245993,-0.081936486
1.9481233,1.3060087,0.93434685,0.32858366,1.1094775,0.57471913,0.80638695,0.9228949,0.16332017
2.251731,1.3917676,0.5437745,0.32638597,1.1078475,0.6078448,0.7951001,1.0543727,-0.06676986
2.1380754,1.4956818,1.581754,0.22407578,1.283292,0.54073054,0.61235404,-0.32494497,-0.065356426
2.033721,0.48732188,1.1076912,0.8986193,1.529496,0.45334935,0.85044587,1.0489932,-0.2591641
2.1060803,1.3755727,1.7141445,0.22690956,1.0948322,0.5296539,0.61235404,-0.25515813,0.16308026
1.5192624,0.3176516,1.7483401,1.0432341,1.849988,-0.80763066,-0.093770005,0.9884735,0.18452963
2.3011637,1.4953606,1.69488,0.22942053,0.69657266,0.68110013,0.7519239,-0.30037194,-0.29949915
2.5356698,1.5265882,1.0304022,0.29826578,1.11587,0.76677406,0.4737021,-0.44156462,-0.050088488
2.2866793,1.543534,1.6356831,0.22690956,0.94203407,0.53944623,0.5748817,-0.34218723,0.16048865
2.0540318,1.3032039,1.3770424,0.32895344,0.7199498,0.68501806,0.7622694,0.85802776,-0.0730199
2.657253,1.6180525,0.90476775,0.2446527,0.47872382,0.13599482,0.86898816,-0.44875914,-0.07753959
2.6946688,1.892267,-2.0660455,0.37527862,0.9830872,0.55147856,0.72802186,-0.47092122,0.08547378
2.1980748,1.345429,1.5229583,0.31697822,1.3263091,0.4998885,0.62461853,-0.4753391,-0.19253764
2.4340184,1.5098963,1.3951659,0.9318937,-0.67324024,0.73767585,0.88358057,0.0032554353,-0.20377353
2.1739378,1.3875495,0.8507178,0.3241545,1.2600719,0.4004115,0.8382672,0.8506786,-0.2992592
2.9621859,0.41892543,1.2561879,-0.7937396,1.5296674,0.19347018,0.5168004,-0.3041836,-0.05373899
2.4957566,1.3784014,0.09728138,0.33595073,1.0155061,0.61584437,0.8811209,1.0494648,0.046693347
2.2442822,1.3958943,1.5306082,0.2976418,0.85904557,0.5590242,0.6507462,-0.39256048,0.16048865
2.059084,1.2250322,1.3732498,0.33047593,1.0711989,0.55402374,0.6734556,0.8594746,-0.0730199
2.0289495,1.2963616,1.3702003,0.32895344,1.0666113,0.55402374,0.66013205,0.84076303,-0.0730199
1.644281,1.4070706,1.8028228,0.3279379,1.69993,-0.70737267,-0.21050002,-0.23834573,0.17809969
2.4089606,1.5183473,0.9990442,0.07510601,1.3506861,0.7492709,-0.0030276403,-0.42617756,-0.050088488
2.210142,1.4922119,1.4470731,0.33649158,-0.62447387,0.4235621,0.91781795,0.91185755,0.31953442
2.6828024,1.6547805,-1.5761197,0.49999592,-0.48427668,0.71206105,-0.2276717,1.1777447,-0.05679194
-5.0031195,-1.5841491,-2.5171654,-0.21458754,-1.3982416,-0.46486047,-0.35891777,-1.0583311,0.2254911
2.0800395,1.3032039,1.3088895,0.33486915,0.7419037,0.66628295,0.7720822,0.8749754,-0.06676986
1.9950255,1.6149869,0.18730402,-0.019675173,1.4833374,-0.8031687,0.7449857,-0.3629673,0.1201168
3.0591233,1.8943226,-1.6982052,0.41476423,0.5412443,0.053404078,0.9543141,-0.7192744,0.08547378
2.6111245,1.6918703,0.3307208,0.35445175,-0.8954643,0.83165705,-1.0898392,0.9720424,-0.22719288
