"hgnc_symbol","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","Regulation"
"TNMD","ENSG00000000005",154.206084546975,-3.45400276769267,0.250587426851486,1.33991587326855e-43,1.32591296599774e-42,"Down regulated"
"FIRRM","ENSG00000000460",694.214961345919,1.3263666385449,0.0755645098332618,2.58695639955697e-69,5.6622712350102e-68,"Up regulated"
"CFH","ENSG00000000971",3438.09179764379,-1.41443235620605,0.100833932474601,3.09125821805941e-45,3.25491306489785e-44,"Down regulated"
"SEMA3F","ENSG00000001617",6075.79017246401,1.13677266898496,0.0824369597176984,1.30668127452391e-43,1.29400562441864e-42,"Up regulated"
NA,"ENSG00000002079",15.9234976690188,1.14915947529684,0.150018659034105,4.87712645223133e-12,1.2709026094587e-11,"Up regulated"
"AOC1","ENSG00000002726",139.149717917855,3.50999530862417,0.210606904245531,2.64242621360489e-41,2.40533495877221e-40,"Up regulated"
"KLHL13","ENSG00000003096",734.321836799936,-2.56678275314444,0.152767420577015,6.83176203715072e-64,1.26088466863628e-62,"Down regulated"
"CYP26B1","ENSG00000003137",457.168147547843,-2.10126081106991,0.138160540164307,9.62491082796683e-53,1.29658463700044e-51,"Down regulated"
"DBNDD1","ENSG00000003249",2523.34342486509,1.89793139076363,0.104518945972057,6.64373925928417e-74,1.69062786564881e-72,"Up regulated"
"TFPI","ENSG00000003436",1484.57129795161,-1.73655082531407,0.124201279111645,6.31104306987125e-45,6.54495236460378e-44,"Down regulated"
"SLC7A2","ENSG00000003989",14224.5777937621,1.21030806418877,0.200380369978571,4.82811609807032e-10,1.11969106493007e-09,"Up regulated"
"FKBP4","ENSG00000004478",17163.5918333651,1.43859680120864,0.0794620523995048,2.04381666409553e-73,5.10153817568985e-72,"Up regulated"
"HSPB6","ENSG00000004776",400.234241892893,-4.49006060995561,0.167773874120666,7.15723932239045e-158,1.19138402835256e-155,"Down regulated"
"PDK4","ENSG00000004799",5883.19950991833,-3.58245237440069,0.153418973411892,6.55135830851825e-121,5.33374448706592e-119,"Down regulated"
"ZMYND10","ENSG00000004838",668.871378122543,2.51294431744653,0.152518091572041,2.57196632409082e-62,4.52022649050366e-61,"Up regulated"
"ABCB5","ENSG00000004846",57.0888049066522,-3.52391051350207,0.197713543974632,2.22010874447055e-71,5.18038588642797e-70,"Down regulated"
"ARX","ENSG00000004848",68.4306925566723,1.13821071862998,0.272400525621513,2.97186043920991e-12,7.83324263422207e-12,"Up regulated"
"CALCR","ENSG00000004948",35.9287917600815,-1.10756163939465,0.173352741372088,4.60776899647649e-16,1.47899084934803e-15,"Down regulated"
"PRSS22","ENSG00000005001",794.275768699545,1.45325165752113,0.109695359461707,7.7381627261153e-41,6.93753498059339e-40,"Up regulated"
"SKAP2","ENSG00000005020",1986.85001830789,-1.16915836044066,0.080878132293191,9.73411623323573e-48,1.10894243086043e-46,"Down regulated"
"HOXA11","ENSG00000005073",62.7588265288462,1.09085130465342,0.169308248635539,1.19421701880858e-09,2.7054150112295e-09,"Up regulated"
"MEOX1","ENSG00000005102",466.714634866098,-2.6471654760113,0.164937643280188,1.96927712520954e-58,3.11155310702698e-57,"Down regulated"
"THSD7A","ENSG00000005108",361.952993227414,-1.23355009597153,0.108214107183888,1.95399932029938e-30,1.1867492037347e-29,"Down regulated"
"ACSM3","ENSG00000005187",254.808751041586,-1.71131179676525,0.12600241613012,1.95763370401871e-42,1.86039269893909e-41,"Down regulated"
"PRKAR2B","ENSG00000005249",4586.57983557994,-2.46735409232003,0.116061190103754,7.30155389482352e-101,3.74889606065457e-99,"Down regulated"
"MPO","ENSG00000005381",16.942957163484,-1.01773564587499,0.146166155481492,1.78041241226716e-12,4.75128132157562e-12,"Down regulated"
"WDR54","ENSG00000005448",835.277877957244,1.02824180812366,0.0817170215394036,1.08273681196739e-36,8.45673755049487e-36,"Up regulated"
"MYCBP2","ENSG00000005810",4477.60596852478,-1.1400909431159,0.0763079944546737,7.63682347000244e-51,9.7166866876847e-50,"Down regulated"
"ITGAL","ENSG00000005844",1546.66760428353,1.00282658254345,0.109587037602703,2.25938912084058e-20,8.83935258743228e-20,"Up regulated"
"ASB4","ENSG00000005981",16.6607286647618,-2.49841735884834,0.197163206020569,5.26520041342119e-11,1.29287557647608e-10,"Down regulated"
"TMEM132A","ENSG00000006118",5616.89435474118,2.16570420692652,0.112778585482884,1.93643682722525e-83,6.43852926751967e-82,"Up regulated"
"TAC1","ENSG00000006128",42.262489646646,-1.40819156670253,0.241305062971234,2.20773566932128e-09,4.92967908253949e-09,"Down regulated"
"CX3CL1","ENSG00000006210",5630.51422659183,-2.35825920240768,0.141104627449128,2.86624870177377e-63,5.1802588915737e-62,"Down regulated"
"CACNA1G","ENSG00000006283",96.4775206390587,-1.0893715524368,0.164470616061149,1.82043437917129e-11,4.58689086629988e-11,"Down regulated"
"TNFRSF12A","ENSG00000006327",2855.9036640355,1.04037849939883,0.110959114783356,3.20271025253018e-21,1.3006935468473e-20,"Up regulated"
"DLX6","ENSG00000006377",36.1516265168549,2.36681331060064,0.290644262466569,1.64905028721924e-15,5.15629100337255e-15,"Up regulated"
"BAIAP2L1","ENSG00000006453",1867.14589999976,1.13229973143867,0.0775417840556101,3.25473386636316e-48,3.79389896804348e-47,"Up regulated"
"ETV1","ENSG00000006468",894.3340243224,-1.01603751546208,0.104408299554259,1.1971063412606e-22,5.20032864403333e-22,"Down regulated"
"GGCT","ENSG00000006625",2509.40715689087,1.4381130533453,0.0868642359359555,3.62366810824037e-62,6.33451119336145e-61,"Up regulated"
"DBF4","ENSG00000006634",901.411174493784,1.23116936959674,0.0722616110818931,1.07459669905249e-65,2.09734952449871e-64,"Up regulated"
"GTF2IRD1","ENSG00000006704",2220.39782703523,1.10028543018942,0.0519752509064891,1.13070697342171e-99,5.69362158832427e-98,"Up regulated"
"SCIN","ENSG00000006747",904.436817497356,1.0277878591642,0.176790912374495,2.78960384374556e-08,5.81321320887062e-08,"Up regulated"
"MYH13","ENSG00000006788",30.8126631443633,1.06848354116711,0.147274834480366,1.27905382929747e-13,3.61566173876257e-13,"Up regulated"
"DNAH9","ENSG00000007174",61.7055213777852,-1.54052191042494,0.182324862533408,1.12744130741752e-17,3.87997776245057e-17,"Down regulated"
"SLC13A2","ENSG00000007216",407.125031182665,-1.73957737013556,0.23626648975562,6.51571622764617e-14,1.86937894273032e-13,"Down regulated"
"GAS7","ENSG00000007237",2987.45772179599,-1.06932704056908,0.101169558152694,1.42093123913834e-26,7.31748226863472e-26,"Down regulated"
"CEACAM7","ENSG00000007306",50.495290205656,1.98453396808066,0.225158917804747,6.59762648118165e-15,1.99956361427811e-14,"Up regulated"
"SCN4A","ENSG00000007314",249.138497038421,-3.58691600931874,0.151760162437195,7.96189306840213e-124,6.95906733945222e-122,"Down regulated"
"PAX6","ENSG00000007372",55.8721380549058,3.69801568935326,0.26758099508115,1.83977362631423e-38,1.52491734697418e-37,"Up regulated"
"RPUSD1","ENSG00000007376",1680.34928795221,1.38763593930838,0.0755116072139581,5.76951987519728e-76,1.55604367820852e-74,"Up regulated"
"CACNA2D2","ENSG00000007402",984.442479048383,1.20151843269497,0.144332021770565,2.18095480252799e-17,7.41184301811007e-17,"Up regulated"
"BAIAP3","ENSG00000007516",1049.11974015162,1.05262708793692,0.162322845651756,3.00600522862686e-11,7.47681932472965e-11,"Up regulated"
"PIGQ","ENSG00000007541",3592.6739753614,1.30105319324322,0.0839250640560288,1.86992100086773e-53,2.56527640087544e-52,"Up regulated"
"SELE","ENSG00000007908",678.014097384802,-1.47973781258618,0.165571975393562,1.55699334512218e-19,5.84465154861003e-19,"Down regulated"
"E2F2","ENSG00000007968",615.946962633877,2.58491442522266,0.12325162130271,4.8487741493505e-99,2.40451354115989e-97,"Up regulated"
"SYN1","ENSG00000008056",125.039518976265,1.80372095726339,0.17120891432176,9.20869758028178e-34,6.41076458612371e-33,"Up regulated"
"CAMK1G","ENSG00000008118",23.6120727664621,1.03377010936249,0.139769031840875,2.18613802465337e-12,5.80202408208502e-12,"Up regulated"
"CYB561","ENSG00000008283",12033.1348097597,1.31508934709174,0.0845491994798861,3.02230846222736e-55,4.38805607510276e-54,"Up regulated"
"CELSR3","ENSG00000008300",874.52747977678,2.49227286708498,0.139283302315559,5.46001443691641e-73,1.34361598205625e-71,"Up regulated"
"AASS","ENSG00000008311",783.718645485882,-1.67069806942774,0.0923425477025918,1.15227808102346e-73,2.90391855057542e-72,"Down regulated"
"MGST1","ENSG00000008394",11016.0958104676,-1.15418827258706,0.121159293212165,6.40276453740302e-22,2.68414899615801e-21,"Down regulated"
"MMP25","ENSG00000008516",277.406637996772,1.30052218103288,0.151101438420134,1.5066442034738e-18,5.40860434252533e-18,"Up regulated"
"MAPK8IP2","ENSG00000008735",1901.16834748007,2.71910779034071,0.146205631609123,1.42139492529609e-78,4.10461159974454e-77,"Up regulated"
"REV3L","ENSG00000009413",1869.03553437838,-1.00215514401631,0.0802962145503722,4.63148694207639e-36,3.51449708897284e-35,"Down regulated"
"TENM1","ENSG00000009694",92.6600308143361,-1.44203204531052,0.179477336313316,1.48636653462979e-20,5.86777991178472e-20,"Down regulated"
"PAX7","ENSG00000009709",115.740043043673,2.91861169573488,0.407576778827923,5.90732205052081e-62,1.02579371739741e-60,"Up regulated"
"MASP2","ENSG00000009724",76.0648982909404,-1.33989787398373,0.107766819553554,7.6283237606741e-36,5.74686114619362e-35,"Down regulated"
"MLXIPL","ENSG00000009950",333.790293745171,-3.52379744270884,0.164376631824396,2.84778631758944e-102,1.51576471739068e-100,"Down regulated"
"ETV7","ENSG00000010030",395.939972383302,1.99344374952343,0.132589873572387,4.54908977839656e-52,5.99525528333917e-51,"Up regulated"
"HHATL","ENSG00000010282",7.25414455664105,-5.19326273084349,0.242890479826184,1.2709698251242e-29,7.49278714410011e-29,"Down regulated"
"SEMA3G","ENSG00000010319",2243.00989595256,-2.84663803605428,0.117725794140589,1.17960672554367e-129,1.17663519715108e-127,"Down regulated"
"DPF1","ENSG00000011332",47.279059789817,1.30433594377723,0.118107197310638,4.0500103212221e-29,2.3287782119872e-28,"Up regulated"
"SYT7","ENSG00000011347",6533.61495497201,1.12742524286502,0.113229117714862,6.60770779623426e-24,3.04185019458845e-23,"Up regulated"
"PLAUR","ENSG00000011422",2220.39615720048,1.70257206176454,0.0987211702289722,1.51178303072885e-67,3.1257070985022e-66,"Up regulated"
"ANLN","ENSG00000011426",2547.45953839581,3.384254770014,0.121841004719713,1.36358693725748e-171,3.15362663878647e-169,"Up regulated"
"DCN","ENSG00000011465",45921.7476413924,-1.95259005153353,0.1185949198985,8.20313781000093e-62,1.41974042070572e-60,"Down regulated"
"CEP68","ENSG00000011523",2173.04393771544,-1.20576051121483,0.0470534523441806,2.4512546605599e-145,3.17134105440952e-143,"Down regulated"
"ZBTB32","ENSG00000011590",50.6949182014603,1.26235410851625,0.131488361085856,1.53687292933145e-22,6.62454843066931e-22,"Up regulated"
"GABRA3","ENSG00000011677",51.1245008306421,4.4911539374791,0.366191166016453,2.94742539563608e-32,1.92955950124132e-31,"Up regulated"
"BRCA1","ENSG00000012048",1198.8751869731,1.10042933325114,0.0903690745182655,1.24490621040361e-34,8.9675796313914e-34,"Up regulated"
"CALCOCO1","ENSG00000012822",4784.38152824168,-1.05326829269387,0.0561716703299409,4.36983480593153e-79,1.27741904718361e-77,"Down regulated"
"SLC7A14","ENSG00000013293",6.73020831186394,-2.53798952081708,0.217978774244637,8.20006717749685e-32,5.2653699168723e-31,"Down regulated"
"CLDN11","ENSG00000013297",550.879244751854,-2.43025357562796,0.139430499134343,1.68349898589963e-68,3.58862663111754e-67,"Down regulated"
"SLC25A39","ENSG00000013306",8789.65597320599,1.16888526420118,0.0684897900719086,1.42657531933709e-64,2.69769315452644e-63,"Up regulated"
"GPRC5A","ENSG00000013588",19055.1318320015,2.36234356229694,0.126257698474018,1.80771095150782e-79,5.32012590165602e-78,"Up regulated"
"CD6","ENSG00000013725",608.71911844297,1.14683889253293,0.134228585808825,3.49110399924604e-18,1.23309247082438e-17,"Up regulated"
"TACC3","ENSG00000013810",2753.63197643565,2.32390709166952,0.09150971414369,7.80504493916346e-143,9.62155870000462e-141,"Up regulated"
"POLA2","ENSG00000014138",324.112903148346,1.17918232119006,0.0837581621515414,1.81586494697213e-45,1.92909815138901e-44,"Up regulated"
"ZC3H3","ENSG00000014164",2109.81002192677,1.03730333366172,0.0645147789312108,4.23664008343912e-58,6.64987098742331e-57,"Up regulated"
"DPEP1","ENSG00000015413",88.6860047098452,2.44164604413217,0.145893683317491,2.01226894031082e-64,3.78335514288368e-63,"Up regulated"
"CLCA4","ENSG00000016602",40.4319003739998,-3.23056337667647,0.244895576901539,4.25341119760619e-40,3.71395416766589e-39,"Down regulated"
"IGF1","ENSG00000017427",199.779609828482,-2.48783799492402,0.14133618189895,8.21575987117466e-70,1.83827627117533e-68,"Down regulated"
"SLC38A5","ENSG00000017483",518.569401335426,1.75407528440335,0.129446637275043,7.73528601445477e-43,7.46506516623933e-42,"Up regulated"
"SLC11A1","ENSG00000018280",433.896687404278,1.35842308407536,0.112663749582665,3.09256385638728e-34,2.19086646307469e-33,"Up regulated"
"ATP1A2","ENSG00000018625",875.246462125163,-4.49915407989205,0.209043772294054,1.23560759096159e-102,6.63067120784193e-101,"Down regulated"
"PHLDB1","ENSG00000019144",4406.71492831661,-1.32025001740637,0.0715073524882818,5.60356486084754e-77,1.5513089414554e-75,"Down regulated"
"MARCO","ENSG00000019169",462.903006215613,-1.53471231236931,0.228760689960655,7.50902815723078e-12,1.93626977662624e-11,"Down regulated"
"PRDM11","ENSG00000019485",662.047965580457,-1.03707413024831,0.0655870815409023,1.13498547626429e-56,1.71554137864032e-55,"Down regulated"
"SYT13","ENSG00000019505",3606.03665841852,4.9937321512678,0.253452335103083,5.97045678628643e-88,2.24829852525662e-86,"Up regulated"
"ADGRA2","ENSG00000020181",2101.79287826689,-1.42756640647349,0.0932562239907711,2.63641935153326e-53,3.60733944151677e-52,"Down regulated"
"SAMD4A","ENSG00000020577",1137.29266685516,-1.65820954662365,0.0929827921649635,9.98842230403227e-72,2.36019374768155e-70,"Down regulated"
"CPS1","ENSG00000021826",356.868511084067,-1.10186852133269,0.14783254621474,4.36058738902036e-14,1.26271014764164e-13,"Down regulated"
"FHL1","ENSG00000022267",9076.08245348113,-5.02060557982505,0.139162244090008,7.67800976053506e-285,2.8665301011689e-281,"Down regulated"
"NLRP2","ENSG00000022556",1876.08567954842,1.28026804092264,0.217303415011937,8.24608686346133e-10,1.88508777195327e-09,"Up regulated"
"EHD2","ENSG00000024422",7234.60236044877,-1.93902762882204,0.0866347345778327,7.18878596442869e-112,4.74423566652473e-110,"Down regulated"
"DEPDC1","ENSG00000024526",688.004676732039,3.27462362488192,0.127498838433431,7.87578355746083e-148,1.07762160989886e-145,"Up regulated"
"RRAGD","ENSG00000025039",1085.60890384288,-1.21237933894176,0.114163343920316,1.10133369563069e-26,5.70284422461115e-26,"Down regulated"
"HSD17B6","ENSG00000025423",294.490478841553,3.01379957535768,0.0974686932249823,1.02624798481344e-211,7.88822495150425e-209,"Up regulated"
"TYMP","ENSG00000025708",4818.51603874417,1.75735338696885,0.103370520731675,1.111423300263e-65,2.16599079262292e-64,"Up regulated"
"VIM","ENSG00000026025",35152.2245170695,-1.38916093206704,0.0894182520282773,1.26942099943097e-55,1.86376676399601e-54,"Down regulated"
"KCNG1","ENSG00000026559",244.940721899561,2.40390605486419,0.240354191062706,1.35395448466713e-21,5.59257886870408e-21,"Up regulated"
"SH2D2A","ENSG00000027869",257.071355546943,1.66201058630705,0.133537289965703,1.65395948500142e-36,1.28224791400259e-35,"Up regulated"
