GeneSymbol,Role
TRIM11,Suppressor
TRIM16,Driver
TRIM21,"Driver, Suppressor"
TRIM26,"Driver, Suppressor"
TRIM3,Driver
TRIM44,Driver
TRIM46,Driver
TRIM59,Driver
TRIM6,Suppressor
TRIM7,Suppressor
TRPM2,Suppressor
TRPM7,Driver
TRPV1,Suppressor
TSC1,Driver
TSC22D3,Unclassified
TSPO,Suppressor
TTPA,Driver
TUBE1,Unclassified
TUG1,"Driver, Suppressor"
TULP1,Suppressor
TXN,Suppressor
TXNDC12,Suppressor
TXNIP,"Driver, Unclassified"
TXNRD1,"Suppressor, Unclassified"
TXNRD3,Suppressor
TYRO3,Suppressor
UBC,Unclassified
UBIAD1,Suppressor
UCHL3,Suppressor
UCKL1,Suppressor
UFL1,Suppressor
UHRF1,"Driver, Suppressor"
ULK1,Driver
ULK2,Driver
UMPS,Suppressor
USF2,Suppressor
USP11,"Driver, Suppressor"
USP14,"Driver, Suppressor"
USP20,Suppressor
USP22,Suppressor
USP24,Driver
USP35,Suppressor
USP5,Suppressor
USP7,"Driver, Suppressor"
USP8,Suppressor
UTP11,Suppressor
Uc.339,Suppressor
VAMP2,Suppressor
VCP,Suppressor
VDAC1,Driver
VDAC2,"Driver, Suppressor"
VDR,Suppressor
VEGFA,Unclassified
VIRMA,Suppressor
VKORC1L1,Suppressor
VLDLR,Unclassified
WBP2,Suppressor
WIPI1,Driver
WIPI2,Driver
WNT5A,Driver
WTAP,"Driver, Suppressor"
WWTR1,Driver
XBP1,Unclassified
XIST,Suppressor
YAP1,"Driver, Suppressor"
YTHDC1,"Driver, Suppressor"
YTHDC2,Driver
YTHDF1,Suppressor
YTHDF2,Driver
YWHAE,Unclassified
YY1,Driver
YY1AP1,"Driver, Suppressor"
YY2,Driver
ZBTB48,Suppressor
ZC3H13,Suppressor
ZEB1,"Driver, Marker"
ZEB1-AS1,Suppressor
ZFAS1,Driver
ZFP36,Suppressor
ZFP69B,Unclassified
ZNF419,Unclassified
ZNF488,Suppressor
ZNF8,Driver
ZRANB1,Driver
ZSCAN25,Suppressor
circ-BGN,Suppressor
circ-Carm1,Driver
circ-ITCH,Suppressor
circ-STC2,Driver
circ-TTBK2,Suppressor
circ0097009,Suppressor
circACAP2,Suppressor
circAFF1,Driver
circBBS2,Suppressor
circBLNK,Suppressor
circCMTM3,Suppressor
circDTL,Suppressor
circEPSTI1,Suppressor
circGFRA1,Suppressor
circKIF4A,Suppressor
circLMO1,Driver
circPDE3B,Suppressor
circPSEN1,Driver
circRHBG,Suppressor
circRHOT1,Suppressor
circRNA1615,Suppressor
circRNA_101093,Suppressor
circRNF10,Suppressor
circRPPH1,Driver
circSAV1,Driver
circSEPT9,Suppressor
circSLC8A1,Driver
circSTIL,Suppressor
circSlC8A1,Driver
circUBE2I,Driver
circ_0000140,Driver
circ_0007142,Suppressor
circ_0067934,Suppressor
circ_0070440,Suppressor
circ_0072464,Suppressor
hsa_circ_0008367,Driver
hsa_circ_0050900,Suppressor
hsa_circ_0057105,Driver
lnc-MRGPRF-6:1,Driver
lncAABR07025387.1,Driver
lncRNA AABR07017145.1,Driver
miR-129-5p,Suppressor
miR-182-5p,Driver
miR-194-5p,Driver
miR-19b-3p,Driver
miR-26a-5p,Suppressor
miR-378a-3p,Driver
miR-7-5p,Suppressor
miR6315,Driver
mmu_circRNA_0000309,Suppressor
